text,Sentiment,Score
b'JUST IN: MMIW inquiry granted 6-month extension. #yxe #sask @SaskMorningNews https://t.co/QGMNncY2Pf',positive,0.0234375
b'RT @NicoleStillger: At 8:00 Koda and Mistaya join me (and zoo manager Tim Sinclair-Smith) to talk about how the Zoo Gala Fundraiser helps o\\u2026',negative,-0.00034877232142857144
b'RT @NicoleStillger: At 8:00 Koda and Mistaya join me (and zoo manager Tim Sinclair-Smith) to talk about how the Zoo Gala Fundraiser helps o\\u2026',negative,-0.00034877232142857144
b'RT @NicoleStillger: At 8:00 Koda and Mistaya join me (and zoo manager Tim Sinclair-Smith) to talk about how the Zoo Gala Fundraiser helps o\\u2026',negative,-0.00034877232142857144
b'At 8:00 Koda and Mistaya join me (and zoo manager Tim Sinclair-Smith) to talk about how the Zoo Gala Fundraiser hel\\u2026 https://t.co/RuUbAu1tak',netural,0.0
b'RT @JWilsonGlobal: UP NEXT:  @usask students Jenn and Sidney are here to teach us a thing or two about swing dancing! @SaskMorningNews #yxe\\u2026',positive,0.022965651292067308
"b'RT @SaskMorningNews: $400K cash, 21 kg of crystal meth seized by Saskatoon police - @MCraigGlobal #YXE #Sask https://t.co/qvSwyXRUG8'",negative,-0.0003380408653846154
b'RT @deeannmercier: @charlieclarkyxe @DTNYXE @broadwayyxe @33rdBIDYXE @Cooper_Chief @SaskatoonPolice @morganhackl @SaskatoonFire @stoontrans\\u2026',netural,0.0
b'@charlieclarkyxe @DTNYXE @broadwayyxe @33rdBIDYXE @Cooper_Chief @SaskatoonPolice @morganhackl @SaskatoonFire\\u2026 https://t.co/zmvBxLCTdL',netural,0.0
b'@SaskatoonPolice @Cooper_Chief @charlieclarkyxe @DTNYXE @broadwayyxe @33rdBIDYXE @morganhackl @SaskatoonFire\\u2026 https://t.co/P4B1kR85Ko',netural,0.0
b'@hadlenx @Cooper_Chief @charlieclarkyxe @DTNYXE @broadwayyxe @33rdBIDYXE @morganhackl @SaskatoonFire @stoontransit\\u2026 https://t.co/PEL9s61Xy7',netural,0.0
b'@Cooper_Chief @SaskatoonPolice @charlieclarkyxe @DTNYXE @broadwayyxe @33rdBIDYXE @morganhackl @SaskatoonFire\\u2026 https://t.co/i6UcahgvDo',netural,0.0
b'@Cooper_Chief @charlieclarkyxe @DTNYXE @broadwayyxe @33rdBIDYXE @SaskatoonPolice @morganhackl @SaskatoonFire\\u2026 https://t.co/pmepm3Gbde',netural,0.0
b'RT @Cooper_Chief: @charlieclarkyxe @DTNYXE @broadwayyxe @33rdBIDYXE @SaskatoonPolice @morganhackl @SaskatoonFire @stoontransit #CommuterCha\\u2026',netural,0.0
b'RT @Cooper_Chief: @charlieclarkyxe @DTNYXE @broadwayyxe @33rdBIDYXE @SaskatoonPolice @morganhackl @SaskatoonFire @stoontransit #CommuterCha\\u2026',netural,0.0
b'@charlieclarkyxe @DTNYXE @broadwayyxe @33rdBIDYXE @SaskatoonPolice @morganhackl @SaskatoonFire @stoontransit\\u2026 https://t.co/0kySuo8mii',netural,0.0
"b'RT @charlieclarkyxe: This week is the #CommuterChallenge! This aims to get people walking, cycling, carpooling, or taking the bus to work.\\u2026'",positive,0.008036363873504097
"b'RT @charlieclarkyxe: This week is the #CommuterChallenge! This aims to get people walking, cycling, carpooling, or taking the bus to work.\\u2026'",positive,0.008036363873504097
"b'RT @charlieclarkyxe: This week is the #CommuterChallenge! This aims to get people walking, cycling, carpooling, or taking the bus to work.\\u2026'",positive,0.008036363873504097
b'RT @morganhackl: #CommuterChallenge #yxe trail system from Evergreen to #downtown is great. Good way to start the day. @SaskatoonFire https\\u2026',positive,0.0600114901860555
b'@charlieclarkyxe @DTNYXE @broadwayyxe @33rdBIDYXE @Cooper_Chief @SaskatoonPolice @morganhackl @SaskatoonFire\\u2026 https://t.co/Lx0EikRvDr',netural,0.0
"b'RT @charlieclarkyxe: This week is the #CommuterChallenge! This aims to get people walking, cycling, carpooling, or taking the bus to work.\\u2026'",positive,0.008036363873504097
b'If you did it once will you do it everyday? @SaskatoonCycles #cycling #CommuterChallenge #yxe',positive,0.0546875
